year,month,new_deaths_smoothed,new_vaccinations_smoothed,new_cases_smoothed
2021,1,190740.85799999986,60356748.0,12890458.015999997
2021,2,150698.2920000001,95642998.0,5967614.282000001
2021,3,80424.85000000005,161874846.0,3644516.562000001
2021,4,43591.153999999944,183419494.0,3800546.568000001
2021,5,36450.272000000004,114530378.0,2291870.560000001
2021,6,21571.71,51796102.0,869923.1319999999
2021,7,16282.849999999999,32280470.0,2005423.426
2021,8,50872.288,47883860.0,7331621.143999993
2021,9,105525.72000000009,44307844.0,8877415.723999994
2021,10,102653.14399999999,58451402.0,5694268.007999998
2021,11,70583.98999999995,83813364.0,4898333.432
2021,12,77271.70599999996,93493574.0,8077072.868000003
2022,1,115452.56100000002,60572671.0,38360347.42999999
2022,2,136896.856,24329934.0,13913057.151999991
2022,3,68825.13400000002,12811600.0,2482220.5840000003
2022,4,29262.006,26796560.0,1999185.7059999993
2022,5,20113.436,22293444.0,5002216.858000001
2022,6,19507.422,15200258.0,6038158.286000002
2022,7,24454.574,15825270.0,7305289.127999998
2022,8,28885.7,11092884.0,6591820.572000001
2022,9,24626.014,23634638.0,4028785.132
2022,10,24075.426,40116220.0,2524817.4359999998
2022,11,21304.568,26278138.0,2357931.1460000016
2022,12,23210.852,16864888.0,3694979.4299999983
2023,1,29838.286,8984028.0,3492811.134000002
2023,2,25800.296000000002,4018508.0,2201995.9899999998
2023,3,17921.987999999998,3277142.0,1617633.706
2023,4,12820.298000000003,2837694.0,1033122.8520000002
2023,5,2775.4320000000002,1354184.0,214399.70999999993
